Date,INDOCO.NS.Open,INDOCO.NS.High,INDOCO.NS.Low,INDOCO.NS.Close,INDOCO.NS.Volume
24-10-2022,333,343.6499939,333,342.3999939,7816
25-10-2022,339,344.75,337.9500122,340.3500061,28981
27-10-2022,340.6000061,343.4500122,340,341.0499878,14070
28-10-2022,341.0499878,344.7999878,335.25,340.6000061,51648
31-10-2022,341.2000122,365.2000122,341.2000122,354,505723
01-11-2022,354.6499939,357,351.6000061,354.2999878,31786
02-11-2022,354.3999939,361,347.4500122,359.2000122,211221
03-11-2022,359.8999939,362.7000122,356.1000061,359.8500061,26689
04-11-2022,360,364.3500061,357.8500061,360.2999878,84260
07-11-2022,362.1499939,368.7999878,359.5,364,40730
09-11-2022,363.7999878,363.7999878,351.5,353.6499939,57881
10-11-2022,353.25,369.8999939,352.1000061,356.8999939,276520
11-11-2022,356.8999939,360,343.0499878,348.0499878,85168
14-11-2022,349.7999878,354.8999939,346.7000122,350.25,26991
15-11-2022,352,356.4500122,348,354.2000122,35366
16-11-2022,356,356,350,351.75,29410
